mode,label,insight,mean_r,mean_g,mean_b,std_r,std_g,std_b,norm_r,norm_g,norm_b,rg_ratio,rb_ratio,gb_ratio,intensity_mean,intensity_std,h_mean,s_mean,v_mean,l_mean,a_mean,b2_mean
plant_health,healthy_leaf,High green reflectance with balanced chlorophyll-like profile.,0.277118,0.516542,0.217774,0.12053,0.108086,0.08754,0.273985,0.510703,0.215312,0.536486,1.2725,2.37191,0.337145,0.093323,0.27198,0.601322,0.584635,0.566969,-0.291822,0.312832
plant_health,healthy_leaf,High green reflectance with balanced chlorophyll-like profile.,0.28221,0.505234,0.199707,0.113695,0.129666,0.110625,0.285884,0.51181,0.202306,0.558573,1.413116,2.529865,0.32905,0.088937,0.295953,0.551858,0.567509,0.574711,-0.30633,0.267969
plant_health,healthy_leaf,High green reflectance with balanced chlorophyll-like profile.,0.287532,0.524964,0.235647,0.093302,0.118524,0.087282,0.274325,0.500852,0.224823,0.547716,1.220178,2.227752,0.349381,0.063801,0.261793,0.573368,0.61504,0.579928,-0.410954,0.322368
plant_health,healthy_leaf,High green reflectance with balanced chlorophyll-like profile.,0.259956,0.518275,0.214122,0.111716,0.12228,0.119576,0.261959,0.522269,0.215772,0.501578,1.21405,2.420455,0.330784,0.093499,0.299498,0.62914,0.554921,0.538479,-0.373498,0.304966
plant_health,healthy_leaf,High green reflectance with balanced chlorophyll-like profile.,0.274998,0.566715,0.203614,0.093517,0.121527,0.131328,0.263073,0.542141,0.194785,0.485248,1.350576,2.783266,0.348442,0.095057,0.305075,0.667054,0.576239,0.517311,-0.376604,0.327645
plant_health,healthy_leaf,High green reflectance with balanced chlorophyll-like profile.,0.251126,0.520671,0.225065,0.105266,0.120854,0.118712,0.251917,0.52231,0.225773,0.482312,1.115791,2.313416,0.332287,0.113214,0.298599,0.585624,0.557528,0.535053,-0.302386,0.251658
plant_health,nitrogen_deficiency_indicator,Reduced green dominance and red shift indicate nutrient-stress-like behavior.,0.418595,0.404986,0.175531,0.095595,0.072381,0.083763,0.418967,0.405346,0.175687,1.0336,2.384724,2.307196,0.333037,0.094323,0.192473,0.53774,0.529261,0.517841,-0.111602,0.264237
plant_health,nitrogen_deficiency_indicator,Reduced green dominance and red shift indicate nutrient-stress-like behavior.,0.437867,0.395474,0.169781,0.113551,0.105716,0.118404,0.436504,0.394243,0.169253,1.107193,2.578994,2.329302,0.334374,0.099701,0.238593,0.475645,0.593722,0.513454,-0.145813,0.153578
plant_health,nitrogen_deficiency_indicator,Reduced green dominance and red shift indicate nutrient-stress-like behavior.,0.416979,0.418466,0.206327,0.110333,0.064362,0.110664,0.400259,0.401687,0.198054,0.996444,2.020949,2.028156,0.347258,0.105559,0.163502,0.464905,0.529908,0.561746,-0.172755,0.18861
plant_health,nitrogen_deficiency_indicator,Reduced green dominance and red shift indicate nutrient-stress-like behavior.,0.447236,0.381077,0.182715,0.101467,0.081381,0.103299,0.442358,0.37692,0.180722,1.173607,2.44771,2.085625,0.337009,0.087904,0.206556,0.490127,0.621337,0.518425,-0.051716,0.144837
plant_health,nitrogen_deficiency_indicator,Reduced green dominance and red shift indicate nutrient-stress-like behavior.,0.417557,0.396463,0.224914,0.074786,0.114859,0.10887,0.401909,0.381605,0.216486,1.053204,1.856508,1.76272,0.346312,0.115335,0.201372,0.492083,0.509134,0.472555,-0.110229,0.200415
plant_health,nitrogen_deficiency_indicator,Reduced green dominance and red shift indicate nutrient-stress-like behavior.,0.460405,0.37778,0.196408,0.076465,0.094068,0.103917,0.445011,0.365148,0.189841,1.218711,2.344117,1.923434,0.344864,0.10824,0.223443,0.488234,0.48531,0.523736,-0.094151,0.234583
plant_health,chlorosis_like_condition,Lower green channel and altered ratios align with chlorosis-like appearance.,0.455994,0.352668,0.221758,0.100497,0.109111,0.099139,0.442532,0.342256,0.215211,1.292982,2.056261,1.59032,0.343473,0.112865,0.204584,0.429748,0.478161,0.473359,0.094138,0.175936
plant_health,chlorosis_like_condition,Lower green channel and altered ratios align with chlorosis-like appearance.,0.480388,0.353915,0.209743,0.064101,0.094491,0.093446,0.460121,0.338984,0.200894,1.35735,2.290354,1.687366,0.348015,0.10392,0.166133,0.444303,0.4502,0.485547,0.010195,0.095849
plant_health,chlorosis_like_condition,Lower green channel and altered ratios align with chlorosis-like appearance.,0.479059,0.329096,0.205094,0.097844,0.097321,0.081337,0.472795,0.324793,0.202413,1.455679,2.335787,1.604599,0.33775,0.114004,0.170452,0.391493,0.505236,0.470083,0.133301,0.076885
plant_health,chlorosis_like_condition,Lower green channel and altered ratios align with chlorosis-like appearance.,0.483906,0.323875,0.217996,0.118524,0.089871,0.123614,0.471746,0.315736,0.212518,1.494107,2.219781,1.485686,0.341926,0.105579,0.150515,0.400366,0.462372,0.471874,0.005871,0.180125
plant_health,chlorosis_like_condition,Lower green channel and altered ratios align with chlorosis-like appearance.,0.427899,0.370049,0.21666,0.116144,0.074893,0.094388,0.421738,0.364721,0.21354,1.156328,1.974972,1.707964,0.338203,0.141649,0.113908,0.360188,0.46814,0.484175,0.054667,0.234518
plant_health,chlorosis_like_condition,Lower green channel and altered ratios align with chlorosis-like appearance.,0.46486,0.297955,0.211299,0.108603,0.096985,0.060646,0.477213,0.305873,0.216914,1.560162,2.199995,1.410101,0.324705,0.109649,0.181945,0.505062,0.512467,0.479279,-0.04201,0.127838
water_sample,clear_water_baseline,Low saturation and blue-biased optical response aligns with clear water.,0.200938,0.270064,0.341604,0.062827,0.052721,0.058333,0.247276,0.332343,0.42038,0.744037,0.588219,0.790575,0.270869,0.03843,0.579302,0.127509,0.376669,0.453496,0.016101,-0.136435
water_sample,clear_water_baseline,Low saturation and blue-biased optical response aligns with clear water.,0.220026,0.25202,0.315112,0.059884,0.09291,0.084913,0.279519,0.320165,0.400316,0.873045,0.698244,0.799777,0.262386,0.054874,0.659908,0.218706,0.414814,0.449228,-0.071094,-0.024191
water_sample,clear_water_baseline,Low saturation and blue-biased optical response aligns with clear water.,0.230132,0.23201,0.322003,0.076425,0.081748,0.049773,0.293481,0.295877,0.410642,0.9919,0.714687,0.72052,0.261382,0.027444,0.502809,0.217156,0.385872,0.450357,-0.098484,-0.201212
water_sample,clear_water_baseline,Low saturation and blue-biased optical response aligns with clear water.,0.159539,0.266584,0.337401,0.084895,0.081862,0.067139,0.208951,0.349149,0.4419,0.598455,0.472846,0.790107,0.254508,0.063493,0.555909,0.193567,0.369177,0.422456,-0.168287,-0.132184
water_sample,clear_water_baseline,Low saturation and blue-biased optical response aligns with clear water.,0.204998,0.252755,0.315723,0.075577,0.095753,0.070574,0.265035,0.326778,0.408188,0.811051,0.649294,0.800555,0.257825,0.044924,0.542257,0.21721,0.339409,0.436242,-0.056941,-0.047766
water_sample,clear_water_baseline,Low saturation and blue-biased optical response aligns with clear water.,0.218869,0.280681,0.315741,0.080049,0.052909,0.074679,0.268456,0.34427,0.387274,0.779779,0.693191,0.888955,0.271764,0.054187,0.537008,0.299975,0.412695,0.382918,-0.032357,-0.160371
water_sample,algae_like_contamination,Green elevation and saturation increase resemble algae-like signatures.,0.240028,0.419315,0.307811,0.049413,0.062625,0.091589,0.248179,0.433556,0.318265,0.572426,0.779787,1.362246,0.322384,0.083012,0.477095,0.532127,0.387779,0.513084,-0.285815,0.11068
water_sample,algae_like_contamination,Green elevation and saturation increase resemble algae-like signatures.,0.245067,0.387177,0.340198,0.08966,0.051633,0.084402,0.252012,0.398149,0.349839,0.632958,0.720364,1.138089,0.324147,0.062689,0.423339,0.441392,0.52494,0.447301,-0.17413,0.120709
water_sample,algae_like_contamination,Green elevation and saturation increase resemble algae-like signatures.,0.223461,0.414213,0.30404,0.069654,0.089718,0.081456,0.237292,0.43985,0.322858,0.539482,0.734969,1.362359,0.313905,0.060562,0.47286,0.491665,0.463316,0.4709,-0.229218,0.091547
water_sample,algae_like_contamination,Green elevation and saturation increase resemble algae-like signatures.,0.23707,0.419189,0.296311,0.089246,0.07826,0.091458,0.248875,0.440061,0.311065,0.565544,0.800071,1.414688,0.317523,0.068168,0.444888,0.486895,0.465336,0.464207,-0.237006,-0.007037
water_sample,algae_like_contamination,Green elevation and saturation increase resemble algae-like signatures.,0.22031,0.427316,0.299068,0.103552,0.11419,0.080363,0.232715,0.451377,0.315908,0.515566,0.736654,1.428821,0.315565,0.05452,0.408556,0.456986,0.410462,0.482485,-0.175653,0.007029
water_sample,algae_like_contamination,Green elevation and saturation increase resemble algae-like signatures.,0.224631,0.394825,0.335734,0.077605,0.067551,0.074407,0.235169,0.413347,0.351484,0.568938,0.669074,1.176003,0.318397,0.079543,0.399459,0.479274,0.499115,0.512474,-0.120015,0.002476
water_sample,turbid_contaminated_water,Flattened channels and scattering-like brightness are consistent with turbidity.,0.402655,0.344143,0.332069,0.077941,0.072336,0.060031,0.37322,0.318986,0.307794,1.170018,1.212559,1.036356,0.359622,0.028086,0.13685,0.164785,0.513045,0.560556,-0.007675,-0.066052
water_sample,turbid_contaminated_water,Flattened channels and scattering-like brightness are consistent with turbidity.,0.387215,0.363478,0.328309,0.075554,0.069172,0.050906,0.358864,0.336865,0.304271,1.065302,1.179418,1.107117,0.359668,0.0333,0.140855,0.129357,0.536695,0.561069,-0.016506,0.050556
water_sample,turbid_contaminated_water,Flattened channels and scattering-like brightness are consistent with turbidity.,0.380736,0.382697,0.344561,0.055275,0.041837,0.070828,0.343626,0.345396,0.310978,0.994873,1.104984,1.110676,0.369331,0.045281,0.163524,0.160102,0.551057,0.578239,-0.024381,0.04052
water_sample,turbid_contaminated_water,Flattened channels and scattering-like brightness are consistent with turbidity.,0.345709,0.3765,0.353064,0.076957,0.093744,0.055215,0.321508,0.350143,0.328348,0.918217,0.979166,1.066375,0.358424,0.039639,0.120294,0.267687,0.480751,0.594573,-0.093542,-0.089079
water_sample,turbid_contaminated_water,Flattened channels and scattering-like brightness are consistent with turbidity.,0.339583,0.332365,0.361381,0.046975,0.056588,0.042547,0.328631,0.321645,0.349725,1.021716,0.939681,0.919706,0.344443,0.04611,0.086941,0.242706,0.510276,0.557055,-0.013863,0.041236
water_sample,turbid_contaminated_water,Flattened channels and scattering-like brightness are consistent with turbidity.,0.408494,0.362408,0.315843,0.051595,0.051408,0.070876,0.375887,0.33348,0.290632,1.127162,1.293339,1.147427,0.362248,0.043838,0.116418,0.224784,0.52886,0.575913,-0.010962,0.116409
food_freshness,fresh_fruit,Saturated color profile and channel separation suggest fresh produce characteristics.,0.558029,0.412984,0.219083,0.140291,0.121185,0.135155,0.468894,0.347017,0.184089,1.35121,2.547099,1.885047,0.396699,0.100984,0.101296,0.616722,0.678906,0.631757,0.113276,0.306027
food_freshness,fresh_fruit,Saturated color profile and channel separation suggest fresh produce characteristics.,0.561485,0.400029,0.266859,0.152482,0.100426,0.108265,0.457097,0.325658,0.217246,1.403608,2.104046,1.499023,0.409458,0.128082,0.030909,0.654455,0.715182,0.620756,0.168837,0.314761
food_freshness,fresh_fruit,Saturated color profile and channel separation suggest fresh produce characteristics.,0.544465,0.445847,0.230094,0.135096,0.122325,0.131595,0.446134,0.365327,0.188539,1.22119,2.366266,1.937668,0.406802,0.118318,0.065126,0.629449,0.741857,0.642421,0.192157,0.346617
food_freshness,fresh_fruit,Saturated color profile and channel separation suggest fresh produce characteristics.,0.576761,0.43856,0.246067,0.133184,0.14296,0.131032,0.457243,0.34768,0.195076,1.315123,2.343909,1.782269,0.420463,0.110261,0.070715,0.594463,0.709764,0.612401,0.241799,0.317564
food_freshness,fresh_fruit,Saturated color profile and channel separation suggest fresh produce characteristics.,0.578563,0.419989,0.21953,0.108829,0.115454,0.109508,0.474978,0.344795,0.180226,1.377562,2.635444,1.913116,0.406028,0.126337,0.063772,0.692813,0.712937,0.631321,0.23301,0.277733
food_freshness,fresh_fruit,Saturated color profile and channel separation suggest fresh produce characteristics.,0.554514,0.409343,0.207574,0.140128,0.147832,0.129904,0.473364,0.349439,0.177197,1.354638,2.671393,1.972029,0.390477,0.115068,0.102727,0.576202,0.717099,0.604299,0.151457,0.379579
food_freshness,ripening_stage,Red/yellow shift indicates advanced ripening response.,0.649415,0.384777,0.198266,0.11418,0.112318,0.100377,0.526927,0.312203,0.160871,1.687765,3.275454,1.9407,0.410819,0.113799,0.08084,0.611927,0.616227,0.632425,0.399008,0.339403
food_freshness,ripening_stage,Red/yellow shift indicates advanced ripening response.,0.611916,0.372671,0.208371,0.106305,0.119487,0.13633,0.51294,0.312393,0.174667,1.641966,2.93665,1.788491,0.397653,0.084932,0.110172,0.642668,0.610517,0.527591,0.285829,0.278443
food_freshness,ripening_stage,Red/yellow shift indicates advanced ripening response.,0.624726,0.338376,0.195426,0.147043,0.103251,0.115904,0.539241,0.292074,0.168685,1.84624,3.196722,1.731472,0.386176,0.085104,0.069147,0.570987,0.737629,0.576205,0.281391,0.357514
food_freshness,ripening_stage,Red/yellow shift indicates advanced ripening response.,0.619875,0.363214,0.206039,0.117377,0.122495,0.125632,0.521286,0.305445,0.173269,1.706636,3.008521,1.762832,0.396376,0.094897,0.062647,0.649508,0.615688,0.622123,0.28786,0.291669
food_freshness,ripening_stage,Red/yellow shift indicates advanced ripening response.,0.678544,0.3931,0.227408,0.132264,0.094791,0.121812,0.522338,0.302605,0.175057,1.726131,2.983806,1.728605,0.433018,0.094747,0.009746,0.509132,0.664092,0.587708,0.319533,0.314709
food_freshness,ripening_stage,Red/yellow shift indicates advanced ripening response.,0.61403,0.370263,0.188897,0.104504,0.116951,0.119657,0.523385,0.315604,0.161011,1.658357,3.250592,1.960122,0.391063,0.09104,0.043038,0.549587,0.659821,0.585213,0.308906,0.353608
food_freshness,spoilage_oxidation_stage,Lower saturation and brownish drift align with oxidation-like spoilage.,0.46696,0.332426,0.215535,0.109617,0.07603,0.102388,0.460095,0.327539,0.212366,1.404698,2.166507,1.542324,0.338307,0.092064,0.084642,0.32621,0.508018,0.507414,0.223732,0.213621
food_freshness,spoilage_oxidation_stage,Lower saturation and brownish drift align with oxidation-like spoilage.,0.50305,0.324351,0.206591,0.118797,0.096937,0.097472,0.486512,0.313688,0.1998,1.550938,2.434989,1.570006,0.344664,0.075085,0.113616,0.295813,0.52642,0.471891,0.137111,0.220297
food_freshness,spoilage_oxidation_stage,Lower saturation and brownish drift align with oxidation-like spoilage.,0.502604,0.345951,0.231251,0.093813,0.106645,0.086353,0.465458,0.320383,0.21416,1.452812,2.173405,1.495994,0.359935,0.092592,0.108974,0.351461,0.497515,0.476432,0.173631,0.235089
food_freshness,spoilage_oxidation_stage,Lower saturation and brownish drift align with oxidation-like spoilage.,0.499616,0.342475,0.182804,0.102716,0.089621,0.08375,0.487481,0.334156,0.178363,1.458836,2.733062,1.873448,0.341632,0.078453,0.034305,0.357943,0.524081,0.498397,0.140311,0.162732
food_freshness,spoilage_oxidation_stage,Lower saturation and brownish drift align with oxidation-like spoilage.,0.496978,0.291525,0.21361,0.109966,0.095322,0.092584,0.49593,0.290911,0.213159,1.704743,2.326559,1.364752,0.334037,0.08182,0.100519,0.373766,0.490736,0.479307,0.166937,0.219097
food_freshness,spoilage_oxidation_stage,Lower saturation and brownish drift align with oxidation-like spoilage.,0.531124,0.333595,0.188949,0.086948,0.068555,0.104947,0.504071,0.316603,0.179325,1.59212,2.810917,1.765513,0.351223,0.066387,0.052995,0.250959,0.44528,0.517052,0.124432,0.122518
medicine_tablet,baseline_authentic_tablet,Reference tone and low deviation indicate baseline tablet color consistency.,0.673565,0.663177,0.718644,0.061108,0.049873,0.030534,0.327707,0.322653,0.349639,1.015664,0.937271,0.922816,0.685129,0.028762,0.655008,0.05668,0.682502,0.763078,-0.010762,-0.070462
medicine_tablet,baseline_authentic_tablet,Reference tone and low deviation indicate baseline tablet color consistency.,0.670319,0.690609,0.715272,0.045002,0.060232,0.082205,0.322859,0.332631,0.34451,0.970618,0.937151,0.965518,0.692067,0.043878,0.660186,0.035109,0.890082,0.69404,-0.00859,-0.084994
medicine_tablet,baseline_authentic_tablet,Reference tone and low deviation indicate baseline tablet color consistency.,0.702538,0.678405,0.681458,0.054014,0.058204,0.045223,0.340641,0.328939,0.33042,1.035572,1.030933,0.995519,0.687467,0.017798,0.618249,0.062526,0.740909,0.714403,0.046761,-0.097497
medicine_tablet,baseline_authentic_tablet,Reference tone and low deviation indicate baseline tablet color consistency.,0.635372,0.655212,0.736978,0.041403,0.085112,0.057372,0.313368,0.323153,0.36348,0.969718,0.862131,0.889052,0.675854,0.018356,0.614971,0.089735,0.692894,0.801237,-0.039545,-0.015953
medicine_tablet,baseline_authentic_tablet,Reference tone and low deviation indicate baseline tablet color consistency.,0.699203,0.667816,0.690083,0.045904,0.055433,0.063136,0.339897,0.324639,0.335464,1.046997,1.013214,0.967732,0.6857,0.030567,0.597993,0.081693,0.713066,0.664503,-0.024878,-0.121623
medicine_tablet,baseline_authentic_tablet,Reference tone and low deviation indicate baseline tablet color consistency.,0.681737,0.708883,0.747175,0.041402,0.042989,0.060332,0.318897,0.331595,0.349507,0.961704,0.912418,0.94875,0.712598,0.040613,0.627438,0.074295,0.828277,0.726776,-0.014266,-0.044004
medicine_tablet,suspicious_color_mismatch,Detected offset from expected tablet profile suggests potential mismatch.,0.591594,0.469567,0.635032,0.052505,0.065826,0.098154,0.348778,0.276836,0.374387,1.259868,0.931596,0.739437,0.565398,0.057417,0.707224,0.132676,0.657544,0.671522,0.101916,-0.107479
medicine_tablet,suspicious_color_mismatch,Detected offset from expected tablet profile suggests potential mismatch.,0.552527,0.484199,0.674855,0.039882,0.087826,0.042229,0.322817,0.282896,0.394288,1.141114,0.818733,0.717485,0.570527,0.049099,0.704824,0.202972,0.543818,0.582466,0.101699,-0.178155
medicine_tablet,suspicious_color_mismatch,Detected offset from expected tablet profile suggests potential mismatch.,0.562136,0.485583,0.616277,0.063981,0.057299,0.07366,0.337823,0.291817,0.37036,1.157649,0.912147,0.787929,0.554665,0.055814,0.752988,0.143743,0.65728,0.641432,0.115254,-0.1826
medicine_tablet,suspicious_color_mismatch,Detected offset from expected tablet profile suggests potential mismatch.,0.548756,0.497435,0.621696,0.055646,0.046178,0.087415,0.329013,0.298243,0.372745,1.10317,0.882675,0.800124,0.555963,0.048594,0.744485,0.180892,0.601866,0.607489,0.167897,-0.218284
medicine_tablet,suspicious_color_mismatch,Detected offset from expected tablet profile suggests potential mismatch.,0.558193,0.486412,0.636461,0.054822,0.065108,0.062823,0.332047,0.289348,0.378605,1.147569,0.877026,0.764245,0.560355,0.0241,0.72508,0.137545,0.722178,0.605496,0.05102,-0.120619
medicine_tablet,suspicious_color_mismatch,Detected offset from expected tablet profile suggests potential mismatch.,0.548299,0.477277,0.651947,0.065055,0.045168,0.072821,0.32685,0.284513,0.388637,1.148805,0.841017,0.732078,0.559174,0.048057,0.748516,0.193546,0.791429,0.590623,0.128916,-0.233333
